Price_NT,District,Ping,Rooms,type
35000,信義區,24.65,3,無電梯公寓
45000,松山區,45.02,3,無電梯公寓
23000,中正區,17.41,2,無電梯公寓
21000,北投區,32,3,無電梯公寓
53000,北投區,47.6,3,無電梯公寓
27000,內湖區,47.27,3,無電梯公寓
43000,信義區,28.1,3,無電梯公寓
23000,萬華區,21.6,2,無電梯公寓
18000,大安區,17.53,1,無電梯公寓
18000,內湖區,29.41,3,無電梯公寓
42000,松山區,22.24,2,無電梯公寓
26000,北投區,23.46,3,無電梯公寓
43000,大安區,26.29,3,無電梯公寓
32000,南港區,22.91,2,無電梯公寓
35000,士林區,34.08,4,無電梯公寓
50000,大安區,22.87,1,無電梯公寓
32000,萬華區,40.57,3,無電梯公寓
32000,士林區,28.88,2,無電梯公寓
39600,松山區,28,3,無電梯公寓
56000,松山區,36,4,無電梯公寓
27500,士林區,45,4,無電梯公寓
45000,大安區,31.15,3,無電梯公寓
30000,內湖區,32.98,3,無電梯公寓
16000,中正區,11.01,1,無電梯公寓
